CCA3,Country,Capital,Continent,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
SUR,Suriname,Paramaribo,South America,163820,3.7727,1.0082,0.01,1980,375112
CPV,Cape Verde,Praia,Africa,4033,147.0739,1.0089,0.01,1980,317234
ESH,Western Sahara,El Aaiún,Africa,266000,2.1654,1.0184,0.01,1980,116775
MLT,Malta,Valletta,Europe,316,1687.6139,1.0124,0.01,1980,333587
MDV,Maldives,Malé,Asia,300,1745.9567,1.0045,0.01,1980,164887
BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01,1980,187921
BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01,1980,223752
BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,1980,145133
GLP,Guadeloupe,Basse-Terre,North America,1628,243.0909,0.9992,0.0,1980,334234
ISL,Iceland,Reykjavík,Europe,103000,3.6204,1.0069,0.0,1980,228263
MTQ,Martinique,Fort-de-France,North America,1128,325.8041,0.9965,0.0,1980,333786
VUT,Vanuatu,Port-Vila,Oceania,12189,26.8061,1.0238,0.0,1980,118156
MYT,Mayotte,Mamoudzou,Africa,374,871.9278,1.0319,0.0,1980,52233
PYF,French Polynesia,Papeete,Oceania,4167,73.5011,1.0074,0.0,1980,163591
GUF,French Guiana,Cayenne,South America,83534,3.6459,1.0239,0.0,1980,66825
NCL,New Caledonia,Nouméa,Oceania,18575,15.6097,1.0075,0.0,1980,148599
BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0.0,1980,253575
STP,Sao Tome and Principe,São Tomé,Africa,964,235.8714,1.0192,0.0,1980,97210
WSM,Samoa,Apia,Oceania,2842,78.2484,1.0165,0.0,1980,164905
CUW,Curacao,Willemstad,North America,444,430.5473,1.0043,0.0,1980,156851
LCA,Saint Lucia,Castries,North America,616,291.9756,1.0011,0.0,1980,121633
GUM,Guam,Hagåtña,Oceania,549,312.8852,1.0073,0.0,1980,110286
KIR,Kiribati,Tarawa,Oceania,811,161.815,1.0183,0.0,1980,60813
GRD,Grenada,Saint George's,North America,344,364.6453,1.0066,0.0,1980,94838
FSM,Micronesia,Palikir,Oceania,702,162.6268,1.0091,0.0,1980,76299
JEY,Jersey,Saint Helier,Europe,116,954.9828,1.0106,0.0,1980,75124
SYC,Seychelles,Victoria,Africa,452,236.9867,1.0061,0.0,1980,65290
TON,Tonga,Nuku‘alofa,Oceania,747,143.0495,1.0079,0.0,1980,96708
ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0.0,1980,62267
VCT,Saint Vincent and the Grenadines,Kingstown,North America,389,267.2185,0.9963,0.0,1980,107480
VIR,United States Virgin Islands,Charlotte Amalie,North America,347,286.6427,0.9937,0.0,1980,96640
ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0.0,1980,64888
IMN,Isle of Man,Douglas,Europe,572,147.7605,1.003,0.0,1980,64022
AND,Andorra,Andorra la Vella,Europe,468,170.5641,1.01,0.0,1980,35611
DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0.0,1980,72978
CYM,Cayman Islands,George Town,North America,264,260.25,1.0084,0.0,1980,17100
BMU,Bermuda,Hamilton,North America,54,1188.5926,1.0,0.0,1980,53565
GGY,Guernsey,Saint Peter Port,Europe,78,811.5513,1.0037,0.0,1980,52860
GRL,Greenland,Nuuk,North America,2166086,0.0261,1.004,0.0,1980,50106
FRO,Faroe Islands,Tórshavn,Europe,1393,38.112,1.0038,0.0,1980,43054
NFK,Northern Mariana Islands,Saipan,Oceania,464,106.7909,1.0014,0.0,1980,17613
KNA,Saint Kitts and Nevis,Basseterre,North America,261,182.5939,1.0011,0.0,1980,43097
TCA,Turks and Caicos Islands,Cockburn Town,North America,948,48.2099,1.0131,0.0,1980,7598
ASM,American Samoa,Pago Pago,Oceania,199,222.4774,0.9831,0.0,1980,32886
SXM,Sint Maarten,Philipsburg,North America,34,1299.2647,1.003,0.0,1980,12243
MHL,Marshall Islands,Majuro,Oceania,181,229.663,0.9886,0.0,1980,31988
LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0.0,1980,25003
MCO,Monaco,Monaco,Europe,2,18234.5,0.9941,0.0,1980,27076
SMR,San Marino,San Marino,Europe,61,551.8033,0.9975,0.0,1980,21346
GIB,Gibraltar,Gibraltar,Europe,6,5441.5,0.9994,0.0,1980,28734
MAF,Saint Martin,Marigot,North America,53,599.8302,0.9951,0.0,1980,7776
VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0.0,1980,11109
PLW,Palau,Ngerulmud,Oceania,459,39.3355,1.0017,0.0,1980,12252
COK,Cook Islands,Avarua,Oceania,236,72.0805,1.0005,0.0,1980,17651
AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0.0,1980,6560
NRU,Nauru,Yaren,Oceania,21,603.2381,1.0125,0.0,1980,7635
WLF,Wallis and Futuna,Mata-Utu,Oceania,142,81.493,0.9953,0.0,1980,11315
TUV,Tuvalu,Funafuti,Oceania,26,435.0769,1.0096,0.0,1980,7731
BLM,Saint Barthelemy,Gustavia,North America,21,522.2381,1.0098,0.0,1980,2983
SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,242,24.2231,0.9964,0.0,1980,6106
MSR,Montserrat,Brades,North America,102,43.0392,0.9939,0.0,1980,11452
FLK,Falkland Islands,Stanley,South America,12173,0.3105,1.0043,0.0,1980,2240
NIU,Niue,Alofi,Oceania,260,7.4385,0.9985,0.0,1980,3637
TKL,Tokelau,Nukunonu,Oceania,12,155.9167,1.0119,0.0,1980,1647
VAT,Vatican City,Vatican City,Europe,1,510.0,0.998,0.0,1980,733
CHN,China,Beijing,Asia,9706961,146.8933,1.0,17.88,1970,822534450
IND,India,New Delhi,Asia,3287590,431.0675,1.0068,17.77,1970,557501301
USA,United States,"Washington, D.C.",North America,9372610,36.0935,1.0038,4.24,1970,200328340
IDN,Indonesia,Jakarta,Asia,1904569,144.6529,1.0064,3.45,1970,115228394
PAK,Pakistan,Islamabad,Asia,881912,267.4018,1.0191,2.96,1970,59290872
NGA,Nigeria,Abuja,Africa,923768,236.5759,1.0241,2.74,1970,55569264
BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,1970,96369875
BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15,1970,67541860
RUS,Russia,Moscow,Europe,17098242,8.4636,0.9973,1.81,1970,130093010
MEX,Mexico,Mexico City,North America,1964375,64.9082,1.0063,1.6,1970,50289306
JPN,Japan,Tokyo,Asia,377930,327.9753,0.9947,1.55,1970,105416839
ETH,Ethiopia,Addis Ababa,Africa,1104300,111.7268,1.0257,1.55,1970,28308246
PHL,Philippines,Manila,Asia,342353,337.5434,1.0147,1.45,1970,37435586
EGY,Egypt,Cairo,Africa,1002450,110.7188,1.0158,1.39,1970,34781986
COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24,1970,20151733
VNM,Vietnam,Hanoi,Asia,331212,296.4472,1.0074,1.23,1970,41928849
IRN,Iran,Tehran,Asia,1648195,53.7258,1.0071,1.11,1970,28449705
TUR,Turkey,Ankara,Asia,783562,108.9145,1.0067,1.07,1970,35540990
DEU,Germany,Berlin,Europe,357114,233.4544,0.9995,1.05,1970,78294583
THA,Thailand,Bangkok,Asia,513120,139.7276,1.0013,0.9,1970,35791728
GBR,United Kingdom,London,Europe,242900,277.9289,1.0034,0.85,1970,55650166
TZA,Tanzania,Dodoma,Africa,945087,69.3034,1.03,0.82,1970,13618192
FRA,France,Paris,Europe,551695,117.1419,1.0015,0.81,1970,50523586
ZAF,South Africa,Pretoria,Africa,1221037,49.0517,1.0084,0.75,1970,22368306
ITA,Italy,Rome,Europe,301336,195.9191,0.9966,0.74,1970,53324036
MMR,Myanmar,Nay Pyi Taw,Asia,676578,80.0784,1.0071,0.68,1970,27284112
KEN,Kenya,Nairobi,Africa,580367,93.0919,1.0193,0.68,1970,11473087
COL,Colombia,Bogota,South America,1141748,45.4339,1.0069,0.65,1970,20905254
KOR,South Korea,Seoul,Asia,100210,517.0722,0.9997,0.65,1970,32601143
ESP,Spain,Madrid,Europe,505992,93.9909,1.0015,0.6,1970,33792617
UGA,Uganda,Kampala,Africa,241550,195.61,1.0304,0.59,1970,10317212
SDN,Sudan,Khartoum,Africa,1886068,24.8529,1.0267,0.59,1970,11305206
ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57,1970,23842803
DZA,Algeria,Algiers,Africa,2381741,18.8531,1.0164,0.56,1970,13795915
IRQ,Iraq,Baghdad,Asia,438317,101.5158,1.0221,0.56,1970,9811347
AFG,Afghanistan,Kabul,Asia,652230,63.0587,1.0257,0.52,1970,10752971
POL,Poland,Warsaw,Europe,312679,127.4698,1.0404,0.5,1970,32482943
UKR,Ukraine,Kiev,Europe,603500,65.7858,0.912,0.5,1970,47279086
CAN,Canada,Ottawa,North America,9984670,3.8513,1.0078,0.48,1970,21434577
MAR,Morocco,Rabat,Africa,446550,83.883,1.0103,0.47,1970,15274351
SAU,Saudi Arabia,Riyadh,Asia,2149690,16.9368,1.0128,0.46,1970,6106191
AGO,Angola,Luanda,Africa,1246700,28.5466,1.0315,0.45,1970,6029700
UZB,Uzbekistan,Tashkent,Asia,447400,77.3975,1.016,0.43,1970,12011361
PER,Peru,Lima,South America,1285216,26.4933,1.0099,0.43,1970,13562371
MYS,Malaysia,Kuala Lumpur,Asia,330803,102.5934,1.0109,0.43,1970,10306508
YEM,Yemen,Sanaa,Asia,527968,63.8232,1.0217,0.42,1970,6843607
GHA,Ghana,Accra,Africa,238533,140.3406,1.0196,0.42,1970,8861895
MOZ,Mozambique,Maputo,Africa,801590,41.1302,1.0278,0.41,1970,8411676
NPL,Nepal,Kathmandu,Asia,147181,207.5511,1.0171,0.38,1970,12501285
MDG,Madagascar,Antananarivo,Africa,587041,50.4423,1.0241,0.37,1970,6639751
VEN,Venezuela,Caracas,South America,916445,30.882,1.0036,0.35,1970,11355475
CIV,Ivory Coast,Yamoussoukro,Africa,322463,87.3295,1.0248,0.35,1970,5477086
CMR,Cameroon,Yaounde,Africa,475442,58.7128,1.0263,0.35,1970,6452787
NER,Niger,Niamey,Africa,1267000,20.6851,1.0378,0.33,1970,4669708
AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33,1970,12595034
PRK,North Korea,Pyongyang,Asia,120538,216.2755,1.0038,0.33,1970,14996879
TWN,Taiwan,Taipei,Asia,36193,660.1662,1.0014,0.3,1970,14957870
BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28,1970,5611666
MLI,Mali,Bamako,Africa,1240192,18.2178,1.0314,0.28,1970,6153587
SYR,Syria,Damascus,Asia,185180,119.4797,1.0376,0.28,1970,6319199
LKA,Sri Lanka,Colombo,Asia,65610,332.7563,1.0027,0.27,1970,12388769
MWI,Malawi,Lilongwe,Africa,118484,172.22,1.0259,0.26,1970,4625141
ZMB,Zambia,Lusaka,Africa,752612,26.5976,1.028,0.25,1970,4281671
ROU,Romania,Bucharest,Europe,238391,82.4665,1.0171,0.25,1970,19922618
CHL,Chile,Santiago,South America,756102,25.9274,1.0057,0.25,1970,9820481
KAZ,Kazakhstan,Nursultan,Asia,2724900,7.1188,1.0105,0.24,1970,12265305
ECU,Ecuador,Quito,South America,276841,65.0229,1.0114,0.23,1970,6172215
GTM,Guatemala,Guatemala City,North America,108889,163.8725,1.0134,0.22,1970,5453208
TCD,Chad,N'Djamena,Africa,1284000,13.8032,1.0316,0.22,1970,3667394
SOM,Somalia,Mogadishu,Africa,637657,27.5971,1.0312,0.22,1970,3720977
NLD,Netherlands,Amsterdam,Europe,41850,419.6897,1.0036,0.22,1970,13037686
SEN,Senegal,Dakar,Africa,196722,88.025,1.0261,0.22,1970,4367744
KHM,Cambodia,Phnom Penh,Asia,181035,92.6221,1.0108,0.21,1970,6708525
ZWE,Zimbabwe,Harare,Africa,390757,41.7665,1.0204,0.2,1970,5202918
GIN,Guinea,Conakry,Africa,245857,56.3716,1.0242,0.17,1970,4222374
RWA,Rwanda,Kigali,Africa,26338,523.0731,1.0234,0.17,1970,3896367
BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17,1970,3023443
BDI,Burundi,Bujumbura,Africa,27834,463.0874,1.027,0.16,1970,3497834
TUN,Tunisia,Tunis,Africa,163610,75.5218,1.0076,0.15,1970,5047404
BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15,1970,4585693
BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15,1970,9629376
HTI,Haiti,Port-au-Prince,North America,27750,417.4773,1.012,0.15,1970,4680812
JOR,Jordan,Amman,Asia,89342,126.3221,1.0123,0.14,1970,1557374
DOM,Dominican Republic,Santo Domingo,North America,48671,230.7087,1.01,0.14,1970,4475871
CUB,Cuba,Havana,North America,109884,102.0366,0.9961,0.14,1970,8869636
SSD,South Sudan,Juba,Africa,619745,17.6091,1.0153,0.14,1970,3342410
SWE,Sweden,Stockholm,Europe,450295,23.4276,1.0079,0.13,1970,8027702
CZE,Czech Republic,Prague,Europe,78865,133.0627,0.9984,0.13,1970,9795744
HND,Honduras,Tegucigalpa,North America,112492,92.7431,1.015,0.13,1970,2782753
GRC,Greece,Athens,Europe,131990,78.68,0.9942,0.13,1970,8544873
AZE,Azerbaijan,Baku,Asia,86600,119.6082,1.0044,0.13,1970,5425317
PRT,Portugal,Lisbon,Europe,92090,111.5307,0.9981,0.13,1970,8683631
PNG,Papua New Guinea,Port Moresby,Oceania,462840,21.9139,1.0194,0.13,1970,2489059
HUN,Hungary,Budapest,Europe,93028,107.1431,1.0265,0.12,1970,10315366
TJK,Tajikistan,Dushanbe,Asia,143100,69.5513,1.0208,0.12,1970,2993019
BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12,1970,9170786
ARE,United Arab Emirates,Abu Dhabi,Asia,83600,112.9322,1.0081,0.12,1970,298084
ISR,Israel,Jerusalem,Asia,20770,435.1617,1.0155,0.11,1970,2907307
AUT,Austria,Vienna,Europe,83871,106.5877,1.002,0.11,1970,7465301
TGO,Togo,Lomé,Africa,56785,155.8281,1.0236,0.11,1970,2197383
CHE,Switzerland,Bern,Europe,41284,211.7157,1.0056,0.11,1970,6181227
SLE,Sierra Leone,Freetown,Africa,71740,119.957,1.022,0.11,1970,2778557
LAO,Laos,Vientiane,Asia,236800,31.7968,1.0141,0.09,1970,2675283
HKG,Hong Kong,Hong Kong,Asia,1104,6783.3922,0.9992,0.09,1970,3955072
SRB,Serbia,Belgrade,Europe,88361,81.7257,0.9897,0.09,1970,7193533
NIC,Nicaragua,Managua,North America,130373,53.2962,1.0143,0.09,1970,2444767
LBY,Libya,Tripoli,Africa,1759540,3.8717,1.0114,0.09,1970,1909177
BGR,Bulgaria,Sofia,Europe,110879,61.1654,0.9849,0.09,1970,8582950
PRY,Paraguay,Asunción,South America,406752,16.6705,1.0115,0.09,1970,2408787
KGZ,Kyrgyzstan,Bishkek,Asia,199951,33.1612,1.0158,0.08,1970,3016384
TKM,Turkmenistan,Ashgabat,Asia,488100,13.1751,1.014,0.08,1970,2201432
SLV,El Salvador,San Salvador,North America,21041,301.145,1.0035,0.08,1970,3619090
SGP,Singapore,Singapore,Asia,710,8416.4634,1.0058,0.07,1970,2061831
COG,Republic of the Congo,Brazzaville,Africa,342000,17.4574,1.0231,0.07,1970,1396989
DNK,Denmark,Copenhagen,Europe,43094,136.4984,1.0048,0.07,1970,4922963
SVK,Slovakia,Bratislava,Europe,49037,115.0856,1.0359,0.07,1970,4522867
CAF,Central African Republic,Bangui,Africa,622984,8.9555,1.0224,0.07,1970,2067356
FIN,Finland,Helsinki,Europe,338424,16.3722,1.0009,0.07,1970,4606621
LBN,Lebanon,Beirut,Asia,10452,525.2334,0.9816,0.07,1970,2381791
NOR,Norway,Oslo,Europe,323802,16.7828,1.0058,0.07,1970,3875546
LBR,Liberia,Monrovia,Africa,111369,47.6136,1.021,0.07,1970,1463563
PSE,Palestine,Ramallah,Asia,6220,844.063,1.0227,0.07,1970,1118241
NZL,New Zealand,Wellington,Oceania,270467,19.1716,1.0108,0.07,1970,2824061
CRI,Costa Rica,San José,North America,51100,101.3861,1.0052,0.06,1970,1855697
IRL,Ireland,Dublin,Europe,70273,71.4799,1.0073,0.06,1970,2937637
MRT,Mauritania,Nouakchott,Africa,1030700,4.5951,1.0263,0.06,1970,1122198
OMN,Oman,Muscat,Asia,309500,14.7861,1.0123,0.06,1970,670693
PAN,Panama,Panama City,North America,75417,58.4561,1.0132,0.06,1970,1516188
KWT,Kuwait,Kuwait City,Asia,17818,239.5821,1.0044,0.05,1970,802786
HRV,Croatia,Zagreb,Europe,56594,71.2153,0.9927,0.05,1970,4492638
GEO,Georgia,Tbilisi,Asia,69700,53.7214,0.9964,0.05,1970,4800426
ERI,Eritrea,Asmara,Africa,117600,31.3268,1.0176,0.05,1970,1272748
URY,Uruguay,Montevideo,South America,181034,18.9069,0.999,0.04,1970,2790265
MNG,Mongolia,Ulaanbaatar,Asia,1564110,2.1727,1.0151,0.04,1970,1293880
MDA,Moldova,Chisinau,Europe,33846,96.7026,1.0691,0.04,1970,3711140
PRI,Puerto Rico,San Juan,North America,8870,366.675,0.9989,0.04,1970,2737619
BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04,1970,3815561
ALB,Albania,Tirana,Europe,28748,98.8702,0.9957,0.04,1970,2324731
JAM,Jamaica,Kingston,North America,10991,257.2447,0.9999,0.04,1970,1859091
ARM,Armenia,Yerevan,Asia,29743,93.4831,0.9962,0.03,1970,2534377
LTU,Lithuania,Vilnius,Europe,65300,42.1142,0.9869,0.03,1970,3210147
GMB,Gambia,Banjul,Africa,10689,253.1567,1.025,0.03,1970,528731
QAT,Qatar,Doha,Asia,11586,232.6189,1.0026,0.03,1970,118007
BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03,1970,592244
NAM,Namibia,Windhoek,Africa,825615,3.1092,1.0146,0.03,1970,754467
GAB,Gabon,Libreville,Africa,267668,8.9252,1.0204,0.03,1970,597192
LSO,Lesotho,Maseru,Africa,30355,75.962,1.0107,0.03,1970,1023481
SVN,Slovenia,Ljubljana,Europe,20273,104.5649,1.0002,0.03,1970,1741286
GNB,Guinea-Bissau,Bissau,Africa,36125,58.2856,1.0218,0.03,1970,591663
MKD,North Macedonia,Skopje,Europe,25713,81.4218,0.9954,0.03,1970,1656783
LVA,Latvia,Riga,Europe,64559,28.666,0.9876,0.02,1970,2397414
GNQ,Equatorial Guinea,Malabo,Africa,28051,59.7094,1.0247,0.02,1970,316955
TTO,Trinidad and Tobago,Port-of-Spain,North America,5130,298.4491,1.0035,0.02,1970,988890
BHR,Bahrain,Manama,Asia,765,1924.4876,1.0061,0.02,1970,222555
TLS,Timor-Leste,Dili,Asia,14874,90.1772,1.0154,0.02,1970,554021
EST,Estonia,Tallinn,Europe,45227,29.3201,0.998,0.02,1970,1361999
MUS,Mauritius,Port Louis,Africa,2040,636.9946,1.0004,0.02,1970,830115
CYP,Cyprus,Nicosia,Europe,9251,135.2814,1.0059,0.02,1970,640804
SWZ,Eswatini,Mbabane,Africa,17364,69.2047,1.0079,0.02,1970,442865
DJI,Djibouti,Djibouti,Africa,23200,48.3125,1.0138,0.01,1970,144379
REU,Reunion,Saint-Denis,Africa,2511,387.914,1.0082,0.01,1970,473925
FJI,Fiji,Suva,Oceania,18272,50.8847,1.0056,0.01,1970,527634
COM,Comoros,Moroni,Africa,1862,449.3953,1.0184,0.01,1970,242351
GUY,Guyana,Georgetown,South America,214969,3.7621,1.0052,0.01,1970,705261
BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01,1970,298894
SLB,Solomon Islands,Honiara,Oceania,28896,25.0648,1.0232,0.01,1970,172833
MAC,Macau,Concelho de Macau,Asia,30,23172.2667,1.0125,0.01,1970,247284
LUX,Luxembourg,Luxembourg,Europe,2586,250.425,1.0129,0.01,1970,339342
MNE,Montenegro,Podgorica,Europe,13812,45.4012,0.9988,0.01,1970,530268
SUR,Suriname,Paramaribo,South America,163820,3.7727,1.0082,0.01,1970,379918
CPV,Cape Verde,Praia,Africa,4033,147.0739,1.0089,0.01,1970,287262
ESH,Western Sahara,El Aaiún,Africa,266000,2.1654,1.0184,0.01,1970,76371
MLT,Malta,Valletta,Europe,316,1687.6139,1.0124,0.01,1970,315414
MDV,Maldives,Malé,Asia,300,1745.9567,1.0045,0.01,1970,123243
BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01,1970,133343
BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01,1970,179129
BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,1970,120905
GLP,Guadeloupe,Basse-Terre,North America,1628,243.0909,0.9992,0.0,1970,318310
ISL,Iceland,Reykjavík,Europe,103000,3.6204,1.0069,0.0,1970,204468
MTQ,Martinique,Fort-de-France,North America,1128,325.8041,0.9965,0.0,1970,326428
VUT,Vanuatu,Port-Vila,Oceania,12189,26.8061,1.0238,0.0,1970,87019
MYT,Mayotte,Mamoudzou,Africa,374,871.9278,1.0319,0.0,1970,35383
PYF,French Polynesia,Papeete,Oceania,4167,73.5011,1.0074,0.0,1970,117891
GUF,French Guiana,Cayenne,South America,83534,3.6459,1.0239,0.0,1970,46484
NCL,New Caledonia,Nouméa,Oceania,18575,15.6097,1.0075,0.0,1970,110982
BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0.0,1970,241397
STP,Sao Tome and Principe,São Tomé,Africa,964,235.8714,1.0192,0.0,1970,77583
WSM,Samoa,Apia,Oceania,2842,78.2484,1.0165,0.0,1970,142771
CUW,Curacao,Willemstad,North America,444,430.5473,1.0043,0.0,1970,150385
LCA,Saint Lucia,Castries,North America,616,291.9756,1.0011,0.0,1970,103090
GUM,Guam,Hagåtña,Oceania,549,312.8852,1.0073,0.0,1970,88300
KIR,Kiribati,Tarawa,Oceania,811,161.815,1.0183,0.0,1970,57437
GRD,Grenada,Saint George's,North America,344,364.6453,1.0066,0.0,1970,98794
FSM,Micronesia,Palikir,Oceania,702,162.6268,1.0091,0.0,1970,58989
JEY,Jersey,Saint Helier,Europe,116,954.9828,1.0106,0.0,1970,68347
SYC,Seychelles,Victoria,Africa,452,236.9867,1.0061,0.0,1970,54379
TON,Tonga,Nuku‘alofa,Oceania,747,143.0495,1.0079,0.0,1970,86484
ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0.0,1970,59106
VCT,Saint Vincent and the Grenadines,Kingstown,North America,389,267.2185,0.9963,0.0,1970,98459
VIR,United States Virgin Islands,Charlotte Amalie,North America,347,286.6427,0.9937,0.0,1970,63446
ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0.0,1970,64516
IMN,Isle of Man,Douglas,Europe,572,147.7605,1.003,0.0,1970,55298
AND,Andorra,Andorra la Vella,Europe,468,170.5641,1.01,0.0,1970,19860
DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0.0,1970,68895
CYM,Cayman Islands,George Town,North America,264,260.25,1.0084,0.0,1970,10533
BMU,Bermuda,Hamilton,North America,54,1188.5926,1.0,0.0,1970,52019
GGY,Guernsey,Saint Peter Port,Europe,78,811.5513,1.0037,0.0,1970,52656
GRL,Greenland,Nuuk,North America,2166086,0.0261,1.004,0.0,1970,45434
FRO,Faroe Islands,Tórshavn,Europe,1393,38.112,1.0038,0.0,1970,38416
NFK,Northern Mariana Islands,Saipan,Oceania,464,106.7909,1.0014,0.0,1970,10143
KNA,Saint Kitts and Nevis,Basseterre,North America,261,182.5939,1.0011,0.0,1970,44968
TCA,Turks and Caicos Islands,Cockburn Town,North America,948,48.2099,1.0131,0.0,1970,5665
ASM,American Samoa,Pago Pago,Oceania,199,222.4774,0.9831,0.0,1970,27075
SXM,Sint Maarten,Philipsburg,North America,34,1299.2647,1.003,0.0,1970,6260
MHL,Marshall Islands,Majuro,Oceania,181,229.663,0.9886,0.0,1970,23969
LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0.0,1970,21089
MCO,Monaco,Monaco,Europe,2,18234.5,0.9941,0.0,1970,24270
SMR,San Marino,San Marino,Europe,61,551.8033,0.9975,0.0,1970,18169
GIB,Gibraltar,Gibraltar,Europe,6,5441.5,0.9994,0.0,1970,26685
MAF,Saint Martin,Marigot,North America,53,599.8302,0.9951,0.0,1970,5802
VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0.0,1970,9581
PLW,Palau,Ngerulmud,Oceania,459,39.3355,1.0017,0.0,1970,11366
COK,Cook Islands,Avarua,Oceania,236,72.0805,1.0005,0.0,1970,20470
AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0.0,1970,6283
NRU,Nauru,Yaren,Oceania,21,603.2381,1.0125,0.0,1970,6663
WLF,Wallis and Futuna,Mata-Utu,Oceania,142,81.493,0.9953,0.0,1970,9377
TUV,Tuvalu,Funafuti,Oceania,26,435.0769,1.0096,0.0,1970,5814
BLM,Saint Barthelemy,Gustavia,North America,21,522.2381,1.0098,0.0,1970,2417
SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,242,24.2231,0.9964,0.0,1970,5537
MSR,Montserrat,Brades,North America,102,43.0392,0.9939,0.0,1970,11402
FLK,Falkland Islands,Stanley,South America,12173,0.3105,1.0043,0.0,1970,2274
NIU,Niue,Alofi,Oceania,260,7.4385,0.9985,0.0,1970,5185
TKL,Tokelau,Nukunonu,Oceania,12,155.9167,1.0119,0.0,1970,1714
VAT,Vatican City,Vatican City,Europe,1,510.0,0.998,0.0,1970,752
